a lot	a lot: adv. muito
a priori	<i>adv Lat </i>a priori: <b>1</b> segundo um princípio anteriormente aceito como hipótese, dedutivamente.<b> 2</b> por teoria, presuntivo.
abandon	<i>vt</i><b> 1 </b>abandonar, deixar por completo, ceder. <i>he abandoned him to his fate</i><b> </b>/<b> </b>ele o deixou à mercê de seu destino. <i>he must abandon the plan</i><b> </b>/<b> </b>ele precisa abandonar o seu plano.<b> 2</b> desertar, desamparar. <i>the children were abandoned by their parents</i> / as crianças foram abandonadas pelos pais.<b> 3</b> entregar, conceder. <i>don’t abandon yourself to despair</i><b> </b>/<b> </b>não se entregue ao desespero. <b>4 </b>renunciar. <i>n</i> desembaraço, liberalidade, despreocupação.
ability	<i>n </i>(<i>pl</i><b> abilities</b>)<b> 1 </b>capacidade, habilidade, competência. <b>2</b> agilidade, destreza. <b>3</b> talento, aptidão. <b>ability to pay</b> solvência. <b>to the best of one’s ability</b> da melhor forma possível.
able	<i>adj</i> <b>1 </b>capaz, apto. <b>2</b> hábil, ágil, destro.<b> 3</b> competente, talentoso.<b> 4</b> autorizado, qualificado. <b>to be able to</b> estar apto para, ser capaz de, poder. <i>he is able to compete</i><b> </b>/<b> </b>ele está<b> </b>apto para competir.
abort	<i>vt+vi</i><b> 1 </b>abortar, produzir defeituosamente, dar à luz prematuramente. <b>2</b> deixar de desenvolver.<b> 3</b> restringir o desenvolvimento.<b> 4</b> <i>fig </i>malograr.
abortion	<i>n</i> <b>1 </b>aborto, abortamento, móvito. <b>2</b> <i>fig</i> malogro, fracasso. <b>3</b> monstro, monstruosidade. <b>forced abortion </b>aborto provocado. <b>induced abortion</b> aborto induzido. <b>spontaneous abortion</b> aborto espontâneo. <b>to cause an abortion</b> provocar um aborto.
about	<i>adv</i> <b>1 </b>quase, aproximadamente, cerca de. <i>I am about ready</i> /<i> </i>estou quase pronto. <i>it is about your size </i>/<i> </i>é quase do seu tamanho. <i>we walked about forty miles </i>/<i> </i>caminhamos cerca de quarenta milhas. <b>2 </b>em redor, em volta, por todos os lados. <i>the fields about Cambridge</i> / os campos ao redor de Cambridge. <i>all the children were about their sick father </i>/<i> </i>todas as crianças ficaram em redor de seu pai doente. <b>3 </b>aqui e ali, para cá e para lá. <i>they were walking about </i>/<i> </i>eles estavam andando de lá para cá. <b>4 </b>em direção contrária, em sentido oposto. <i>the ship turned about and left </i>/<i> </i>o navio mudou de rumo e partiu. • <i>prep </i><b>1 </b>acerca de, a respeito de, sobre, relativo a. <i>his opinion about this topic is... </i>/<i> </i>a sua opinião acerca deste assunto é... <i>what is she talking about? </i>/<i> </i>sobre o que ela está falando? <b>2 </b>perto de, nas imediações de, junto a. <i>I lost my wallet about here </i>/<i> </i>perdi minha carteira nas imediações deste lugar. <b>3</b> em redor de, em volta de. <i>she had her sweater about her shoulder</i> / ela tinha a blusa em volta dos ombros. <b>4</b> prestes a, disposto a, a ponto de. <i>he is about to go </i>/<i> </i>ele está prestes a partir. <b>5</b> ocupado com, interessado em. <i>while you are about the cooking, you can look after the baby</i> / enquanto você está ocupado com a cozinha, pode tomar conta do bebê. <b>about as high</b><i> </i>quase tão alto. <b>all about </b>em toda parte. <b>do you know what you are about? </b>você sabe o que pretende fazer? você conhece as dificuldades a enfrentar? <b>go about your own business</b> não se importe com as coisas alheias. <b>how about a glass of wine? </b>que tal um copo de vinho? <b>I am about sick of it </b><i>coll</i> já estou farto disto! <b>it is somewhere about the place </b>está por aí. <b>left about!</b> meia-volta à esquerda! <b>much noise about nothing</b> muita gritaria por nada. <b>right about!</b> meia-volta à direita! <b>she had no money about her </b>ela não tinha dinheiro consigo. <b>she is about the garden </b>ela está em qualquer lugar do jardim. <b>to be about something </b>tratar de alguma coisa, fazer alguma coisa. <b>to come about </b>acontecer, realizar-se. <b>to go about </b>andar para lá e para cá, vaguear. <b>to go about something </b>ter a intenção de fazer alguma coisa. <b>to hang about </b>ficar à toa. <b>to lie about </b>estar espalhado, estar em desordem. <b>to take turns about </b>fazer alguma coisa por turno.
above	<i>n</i> <b>1 </b>o alto, céu. <b>2</b> o acima mencionado, o acima escrito ou dito. <i>the above is his opinion </i>/<i> </i>o acima escrito é a opinião dele. <i>in addition to all of the above, I must say that...</i> /<i> </i>em acréscimo a todo o acima mencionado, devo dizer que... • <i>adj</i> acima mencionado, anteriormente escrito ou dito. <i>for further information see the above passage</i> /<i> </i>para informações complementares consulte o texto acima. <i>the above remarks are concerned with this item </i>/<i> </i>as observações anteriores dizem respeito a este item. • <i>adv</i> <b>1 </b>acima, no alto, em cima. <i>the sound was coming from the bedroom above </i>/<i> </i>o som vinha do quarto de cima. <i>our plane flew above the clouds </i>/<i> </i>nosso avião voava acima das nuvens. <b>2 </b>anteriormente (citado ou dito). <i>the facts mentioned above </i>/<i> </i>os fatos mencionados acima. <b>3 </b>em lugar mais alto. <i>those are the hills above Rome </i>/<i> </i>aquelas são as colinas no alto de Roma. • <i>prep</i><b> 1 </b>sobre, acima, por cima. <i>she lived on the first floor above a night club </i>/<i> </i>ela morava no primeiro andar acima de uma boate. <i>the police officer ought to be above suspicion </i>/<i> </i>o policial devia estar acima de suspeita. <b>2</b> superior. <i>he is above his brother </i>/<i> </i>ele é superior a seu irmão. <b>3</b> mais que. <i>the show is allowed to children above the age of ten years </i>/<i> </i>o espetáculo é permitido para crianças com mais de dez anos. <b>4 </b>além de. <i>he is above criticism </i>/<i> </i>ele está além da crítica. <i>it is above me </i>/<i> </i>isso está além da minha compreensão. <b>above all </b>sobretudo, mais importante de tudo. <b>above all things </b>antes de tudo. <b>above-board </b>a)<b> </b>claro, franco, honesto, correto. b) francamente, honestamente, corretamente. <b>above-ground </b>a)<b> </b>vivo, na terra. b) acima do solo. <b>above-mentioned </b>supracitado, supradito, acima mencionado. <b>above par </b><i>Econ </i>acima do valor, com ágio. <b>above praise </b>acima de louvor. <b>above the average </b>acima da média. <b>from above </b>de cima. <b>I am above myself </b>eu estou fora de mim (de alegria, de raiva). <b>over and above </b>além disto. <b>to be above nothing </b>considerar nada indigno demais.
above all	above all: adv. sobretudo
absence	<i>n</i> <b>1 </b>ausência, afastamento. <b>2</b> turno ou período da ausência ou do afastamento. <b>3</b> falta, carência.<b> 4</b> distração, inatenção. <b>absence</b> <b>of mind </b>distração. <b>on leave of absence</b> em licença.
