abaixo	abaixo: adv. down, abaixo: adv. low, abaixo: adv. quietly
abalar	abalar: shake
abandonar	abandonar: abandon
abarcar	abarcar: range
abençoar	abençoar: bless
abertamente	abertamente: adv. openly
abertura	abertura: n. opening
abismo	abismo: n. abyss
abóbada	abóbada: n. turn
aborrecimento	aborrecimento: n. aversion
abortar	abortar: abort
aborto	aborto: n. abortion
abraço	abraço: n.m. embrace
abranger	abranger: comprise
abril	abril: n. April
abrir	abrir: open
absentismo	absentismo: n. absenteeism
absolutamente	absolutamente: adv. absolutely, absolutamente: adv. utterly
absoluto	absoluto: adj. absolute
absorver	absorver: absorb
abstenção	abstenção: n. abstention
abstração	abstração: n. abstraction
abstracção	abstracção: n. abstraction
absurdo	absurdo: adj. absurd
abundância	abundância: n. abundance, abundância: n. plenty
abundante	abundante: adj. abundant
abuso	abuso: n. abuse, abuso: n. misuse
acabar	acabar: end, acabar: finish, acabar: round off
académico	académico: adj. academic
acadêmico	acadêmico: adj. academic
acalmar	acalmar: calm
acampamento	acampamento: n. camp
acampar	acampar: camp
acanhado	acanhado: adj. shy
ação	ação: n. action
acariciar	acariciar: stroke
acarretar	acarretar: involve
acção	acção: n. action
accionista	accionista: n. shareholder, accionista: n. stockholder
aceder	aceder: access
aceitação	aceitação: n. acceptance
aceitar	aceitar: accept
aceitável	aceitável: adj. acceptable
aceleração	aceleração: n. acceleration
acelerar	acelerar: race, acelerar: speed
acender	acender: light
acento	acento: n. accent
acentuar	acentuar: stress
acertar	acertar: hit
acesso	acesso: n. access
achar	achar: find
acidentalmente	acidentalmente: adv. accidentally
acidente	acidente: n. accident, acidente: n. crash
acima	acima: adv. above, acima: adv. aloft, acima: adv. on top, acima: adv. up, acima: adv. upward
acima de	acima de: pr. above
acionista	acionista: n. shareholder
aço	aço: n. steel
acolá	acolá: adv. there
acolher	acolher: receive
acomodar	acomodar: accommodate
acompanhante	acompanhante: n. accompanier
acompanhar	acompanhar: accompany
aconselhar	aconselhar: advise, aconselhar: counsel
aconselhável	aconselhável: adj. advisable, aconselhável: adj. advisory
acontecer	acontecer: become
acontecimento	acontecimento: n. event
a contragosto	a contragosto: adv. unwillingly
acordar	acordar: arouse, acordar: awaken, acordar: wake
acordo	acordo: n. accord, acordo: n. agreement, acordo: n. arrangement, acordo: n. chord
acreditar	acreditar: believe, acreditar: think
acrescentar	acrescentar: add
activamente	activamente: adv. actively
activar	activar: actuate
actividade	actividade: n. activity
activo	activo: adj. active
acto	acto: n.m. act
actor	actor: n. actor
actuação	actuação: n. gig, actuação: n. performance
actual	actual: adj. current, actual: adj. ongoing, actual: adj. up-to-date
actualidade	actualidade: n. actuality
actualizar	actualizar: update
actualmente	actualmente: adv. at present, actualmente: adv. currently
actuar	actuar: act, actuar: perform
açúcar	açúcar: n. sugar
acumular	acumular: accumulate
acusação	acusação: n. indictment
acusar	acusar: accuse
adaptação	adaptação: n. adaptation
adaptar	adaptar: adapt, adaptar: suit
ademais	ademais: adv. additionally, ademais: adv. besides, ademais: adv. furthermore, ademais: adv. in addition, ademais: adv. into the bargain, ademais: adv. moreover, ademais: adv. there again
adentro	adentro: adv. within
adequadamente	adequadamente: adv. adequately, adequadamente: adv. properly
adesão	adesão: n. adhesion
adeus	adeus: ij. goodbye
adiantar	adiantar: advance
adiante	adiante: adv. ahead, adiante: adv. forth, adiante: adv. forward
adiante de	adiante de: pr. in front of
adiar	adiar: postpone
adicional	adicional: adj. additional
adicionalmente	adicionalmente: adv. incidentally
adicto	adicto: n.mf. addict
adivinhar	adivinhar: guess
adjacente	adjacente: adj. adjacent
adjectivo	adjectivo: n. adjective
adjetivo	adjetivo: n. adjective
administração	administração: n. administration, administração: n. dispensation, administração: n. management
administrador	administrador: n. administrator
administrar	administrar: administer
administrativo	administrativo: adj. administrative
admiração	admiração: n. admiration
admirar	admirar: admire
admitir	admitir: admit, admitir: allow, admitir: concede
adoção	adoção: n. adoption
adolescente	adolescente: n. teenager
adopção	adopção: n. adoption
adoptar	adoptar: adopt
adoptivo	adoptivo: adj. adoptive, adoptivo: adj. foster
adotar	adotar: adopt
adotivo	adotivo: adj. adoptive
adquirir	adquirir: acquire, adquirir: purchase
adultério	adultério: n. adultery
adulto	adulto: n. adult
adversário	adversário: n. opponent
advertência	advertência: n. warning, advertência: n.f. warning
advertir	advertir: warn
advogado	advogado: n. attorney, advogado: n. lawyer, advogado: n. solicitor
aéreo	aéreo: adj. aerial
aeroporto	aeroporto: n. airport
afectar	afectar: affect
afetar	afetar: affect
aficionado	aficionado: n. amateur
a fim de que	a fim de que: cnjadv. so that
